2026-05-04 18:37:36,940 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:37:57,661 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:38:02,515 | ERROR | app.core.logger | 409. Usuario ya esta registrado
2026-05-04 18:38:14,441 | ERROR | app.core.logger | 409. Usuario ya existe
2026-05-04 18:38:19,899 | ERROR | app.core.logger | 200. Usuario creado
2026-05-04 18:38:24,530 | INFO | app.core.logger | 200. Usuario registrado
2026-05-04 18:38:30,315 | ERROR | app.core.logger | 401. Contraseña no es correcta
2026-05-04 18:38:38,705 | INFO | app.core.logger | 200. Token generado
2026-05-04 18:38:59,433 | ERROR | app.core.logger | 409. Producto repetido
2026-05-04 18:39:03,518 | INFO | app.core.logger | 200. Producto registrado
2026-05-06 09:21:45,084 | INFO | app.core.logger | 200. Productos filtrados
2026-05-06 09:21:56,910 | ERROR | app.core.logger | 401. Contraseña no es correcta
2026-05-06 09:22:01,661 | INFO | app.core.logger | 200. Token generado
